,knn_shape,knn_color,baysian_shape,baysian_color,majority
0,124,178,33,95,182
1,129,186,30,106,188
2,123,184,35,103,187
3,133,185,35,101,185
4,124,192,38,107,190
5,140,192,38,98,180
6,125,181,36,90,179
7,125,186,40,90,185
8,101,160,41,79,177
9,116,166,44,70,169
10,138,189,41,95,153
11,142,193,31,96,172
12,124,190,36,94,164
13,119,180,36,94,175
14,140,196,36,95,168
15,133,182,35,91,161
16,130,187,36,101,164
17,136,186,36,92,167
18,127,191,40,95,168
19,120,186,38,91,173
20,138,183,36,100,173
21,127,186,37,88,174
22,140,188,37,100,169
23,134,190,33,92,172
24,128,185,35,91,159
25,133,192,39,95,171
26,137,187,35,93,166
27,129,183,34,94,167
28,133,188,39,98,169
29,125,189,35,94,168
30,129,187,35,91,161
31,118,189,35,95,164
32,142,188,36,94,171
33,144,183,32,97,167
34,129,186,42,90,168
35,127,184,37,101,168
36,120,196,36,92,168
37,141,190,36,96,165
38,139,181,37,93,164
39,129,189,37,95,164
40,132,189,34,92,159
41,135,188,38,90,168
42,127,188,35,99,159
43,126,181,41,98,159
44,128,192,36,90,173
45,135,190,35,101,177
46,133,187,35,91,160
47,131,189,35,94,170
48,138,186,38,93,167
49,136,189,38,98,167
50,130,184,33,92,164
51,133,186,36,96,167
52,134,190,35,93,166
53,138,191,33,95,163
54,123,186,37,96,172
55,131,180,40,97,162
56,130,193,34,96,170
57,141,193,40,94,167
58,132,190,36,93,166
59,137,185,34,92,158
60,130,186,33,93,174
61,130,188,36,97,172
62,130,196,36,93,169
63,129,188,35,95,160
64,133,186,41,92,171
65,146,191,38,99,168
66,124,187,34,92,164
67,139,188,38,91,169
68,119,190,33,97,163
69,133,182,36,94,159
70,133,186,44,91,158
71,124,197,34,90,164
72,123,188,33,96,163
73,130,190,35,98,163
74,141,185,36,94,167
75,134,183,41,98,166
76,125,182,38,96,169
77,131,186,29,90,163
78,134,176,37,97,161
79,136,191,35,94,176
80,138,190,34,95,170
81,124,176,45,89,171
82,141,188,35,100,168
83,130,191,34,97,166
84,136,184,33,100,168
85,132,191,36,99,157
86,124,196,36,93,169
87,136,191,37,90,162
88,130,189,35,91,169
89,129,183,36,90,164
90,131,187,35,95,176
91,125,182,35,95,161
92,131,190,34,97,164
93,137,190,33,90,165
94,134,186,35,92,166
95,133,185,34,93,168
96,136,182,40,94,169
97,137,186,35,96,169
98,127,193,38,95,161
99,134,192,38,96,165
100,135,185,38,92,165
101,129,187,37,95,162
102,131,184,39,93,167
103,128,188,34,92,161
104,132,189,37,95,160
105,138,188,36,91,163
106,135,188,35,100,171
107,130,189,33,92,164
108,128,185,38,95,173
109,134,193,35,96,169
110,133,183,34,95,172
111,136,193,36,98,163
112,138,191,39,87,160
113,136,187,37,98,170
114,122,188,35,93,166
115,127,183,36,95,155
116,136,191,34,97,163
117,131,180,36,92,164
118,127,191,34,92,168
119,125,187,41,100,169
120,130,187,36,94,168
121,146,188,38,97,162
122,129,186,37,94,170
123,127,181,35,92,165
124,134,188,37,93,168
125,127,193,38,96,168
126,130,192,34,92,167
127,131,181,36,97,165
128,143,193,34,92,173
129,133,190,34,95,170
130,133,191,39,91,164
131,137,189,36,107,167
132,123,184,41,95,169
133,139,186,33,96,163
134,137,186,37,88,172
135,128,188,35,95,159
136,139,183,33,93,160
137,127,187,35,93,171
138,129,189,36,94,169
139,127,191,37,92,169
140,139,188,40,89,174
141,132,191,35,101,161
142,136,193,41,89,170
143,130,180,37,93,157
144,117,180,33,94,160
145,131,189,35,92,170
146,140,189,38,96,171
147,132,189,34,95,159
148,132,188,33,98,171
149,138,185,36,97,166
150,138,186,34,97,163
